,Open time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,SMA_14,EMA_14,RSI_14,MACD,MACD_signal,MACD_hist,STO_K,STO_D,STO_RSI_K,STO_RSI_D,OBV,change,change_rate,date_utc,Gold_close,value,value_classification,snp_close,dwo_close
31,2018-02-01 00:00:00+00:00,10285.1,10335.0,8750.99,9224.52,33564.76431,317636346.0,316020,15430.00385,11096.24929,11086.27192,32.0040813,-868.7643983,0.0,0.0,10.89072932,19.21432096,0.231891453,0.456746219,-6091.037362,1060.58,0.1031181028867001,2018-02-01 00:00:00+00:00,1349.19,30.0,Fear,"2,822.00","26,186.71"
32,2018-02-02 00:00:00+00:00,9224.52,9250.0,8010.02,8873.03,49971.62698,434236483.7,453411,23113.50358,10910.39571,10791.173,30.53091391,-968.7354089,0.0,0.0,16.95840817,15.02100798,0.120544636,0.273759259,-56062.66434,351.4899999999998,0.038103879659863,2018-02-02 00:00:00+00:00,1332.98,15.0,Extreme Fear,"2,762.10","25,520.96"
33,2018-02-03 00:00:00+00:00,8873.03,9473.01,8229.0,9199.96,28725.00074,256834729.1,327519,14182.83815,10653.25429,10579.01127,33.59279566,-1009.940669,-850.3514911,-159.5891779,24.84331222,17.5641499,0.066004785,0.139480291,-27337.6636,-326.9299999999985,-0.0368453617309981,2018-02-03 00:00:00+00:00,,40.0,Fear,,
34,2018-02-04 00:00:00+00:00,9199.96,9368.0,7930.0,8184.81,32014.30845,274912288.4,356134,13805.29579,10414.31214,10259.78443,29.27766982,-1111.695324,-902.6202576,-209.0750661,5.906583217,15.90276787,0.066004785,0.084184735,-59351.97205,1015.1499999999988,0.1103428710559609,2018-02-04 00:00:00+00:00,,24.0,Extreme Fear,,
35,2018-02-05 00:00:00+00:00,8179.99,8382.8,6625.0,6939.99,63403.18258,471166218.7,533510,29857.35839,10141.45071,9817.145174,25.03151794,-1278.050619,-977.70633,-300.3442894,5.605801744,12.11856573,0.066004785,0.066004785,-122755.1546,1244.8200000000006,0.1520890527697039,2018-02-05 00:00:00+00:00,1339.6,11.0,Extreme Fear,"2,648.90","24,345.75"
36,2018-02-06 00:00:00+00:00,6939.63,7878.0,6000.01,7652.14,100201.5003,684364276.4,785996,49565.02079,9916.662143,9528.477817,31.18071976,-1337.011599,-1049.567384,-287.4442152,26.45952348,12.65730281,0.097781807,0.076597125,-22553.65432,-712.1500000000005,-0.1026154216360543,2018-02-06 00:00:00+00:00,1325.02,8.0,Extreme Fear,"2,695.10","24,912.77"
37,2018-02-07 00:00:00+00:00,7655.02,8476.0,7150.01,7599.0,60778.4605,477935038.8,514893,30084.83627,9648.734286,9271.214108,30.97654233,-1372.208588,-1114.095625,-258.112963,25.6084651,19.22459677,0.192316877,0.118701156,-83332.11482,53.14000000000033,0.0069444625947774,2018-02-07 00:00:00+00:00,1318.49,36.0,Fear,"2,681.70","24,893.35"
38,2018-02-08 00:00:00+00:00,7599.0,7844.0,7572.09,7784.02,1521.537318,11770168.04,12417,844.258813,9406.502143,9072.92156,32.63065736,-1369.387441,-1165.153988,-204.2334531,28.57163448,26.87987435,0.313154932,0.201084539,-81810.5775,-185.02000000000044,-0.0243479405184893,2018-02-08 00:00:00+00:00,1318.97,30.0,Fear,"2,581.00","23,860.46"
39,2018-02-09 00:00:00+00:00,7789.9,8738.0,7789.9,8683.92,20482.91083,173348469.8,273091,10404.04079,9234.710714,9021.054686,40.14405765,-1279.784691,-1188.080128,-91.70456277,42.98389331,32.38799763,0.455685849,0.320385886,-61327.66668,-899.8999999999996,-0.115608644376556,2018-02-09 00:00:00+00:00,1316.69,44.0,Fear,"2,619.60","24,190.90"
40,2018-02-10 00:00:00+00:00,8683.93,9065.78,8120.0,8533.98,49381.51265,423411421.9,537578,24506.72329,9023.495,8956.111394,39.35647107,-1206.959692,-1191.856041,-15.10365043,40.58254417,37.37935732,0.58893966,0.45259348,-110709.1793,149.9400000000005,0.017266395821242,2018-02-10 00:00:00+00:00,,54.0,Neutral,,
